len,dose,,,,,
4.2,0.5,41.024025,10.605,,67.37673611,1347.534722
11.5,0.5,0.801025,,,,
7.3,0.5,10.923025,,,,
5.8,0.5,23.088025,,,,
6.4,0.5,17.682025,,,,
10,0.5,0.366025,,,,
11.2,0.5,0.354025,,,,
11.2,0.5,0.354025,,,,
5.2,0.5,29.214025,,,,
7,0.5,12.996025,,,,
15.2,0.5,21.114025,,,,
21.5,0.5,118.701025,,,,
17.6,0.5,48.930025,,,,
9.7,0.5,0.819025,,,,
14.5,0.5,15.171025,,,,
10,0.5,0.366025,,,,
8.2,0.5,5.784025,,,,
9.4,0.5,1.452025,,,,
16.5,0.5,34.751025,,,,
9.7,0.5,0.819025,,,,
16.5,1,10.465225,19.735,,0.849469444,16.98938889
16.5,1,10.465225,,,,
15.2,1,20.566225,,,,
17.3,1,5.929225,,,,
22.5,1,7.645225,,,,
17.3,1,5.929225,,,,
13.6,1,37.638225,,,,
14.5,1,27.405225,,,,
18.8,1,0.874225,,,,
15.5,1,17.935225,,,,
19.7,1,0.001225,,,,
23.3,1,12.709225,,,,
23.6,1,14.938225,,,,
26.4,1,44.422225,,,,
20,1,0.070225,,,,
25.2,1,29.866225,,,,
25.8,1,36.784225,,,,
21.2,1,2.146225,,,,
14.5,1,27.405225,,,,
27.3,1,57.229225,,,,
23.6,2,6.25,26.1,,53.09551111,1061.910222
18.5,2,57.76,,,,
33.9,2,60.84,,,,
25.5,2,0.36,,,,
26.4,2,0.09,,,,
32.5,2,40.96,,,,
26.7,2,0.36,,,,
21.5,2,21.16,,,,
23.3,2,7.84,,,,
29.5,2,11.56,,,,
25.5,2,0.36,,,,
26.4,2,0.09,,,,
22.4,2,13.69,,,,
24.5,2,2.56,,,,
24.8,2,1.69,,,,
30.9,2,23.04,,,,
26.4,2,0.09,,,,
27.3,2,1.44,,,,
29.4,2,10.89,,,,
23,2,9.61,,,,
,,,,,,
,,1025.775,,,,2426.434333
,,17.99605263,,,,1213.217167
,,,,,,
,,,,,,
,,,,67.41573786,,